manufacturer,brand,model_family,model,mpn,gtin13,device_class,os,memory_storage_variants,carrier_compatibility,region_availability,condition,moq_band,fulfilment_regions,provisioning_options,kitting_options,ordering_model,lead_time_status,last_updated,canonical_url
Apple Inc,Apple,iPhone 16,iPhone 16 (128GB),A3081,194253937005,Smartphone,iOS,128GB/256GB/512GB,Unlocked or US carriers (Verizon AT&T T-Mobile),North America EU UK Middle East APAC Pacific,New,50-10000,Miami Netherlands Dubai Hong Kong Singapore,Apple Business Manager auto-enrolment with Jamf/Mosyle/Kandji/Intune,Asset tag charger MagSafe case screen protector tamper-evident packaging,quote_only,7-14 business days for in-stock,2026-05-02,https://www.solariswireless.com/products/wholesale-iphone-enterprise
Apple Inc,Apple,iPhone 16,iPhone 16 Pro Max (256GB),A3083,194253936336,Smartphone,iOS,256GB/512GB/1TB,Unlocked or US carriers,North America EU UK Middle East APAC Pacific,New,50-10000,Miami Netherlands Dubai Hong Kong Singapore,ABM auto-enrolment AppleCare for Enterprise,Asset tag accessory bundle tamper-evident,quote_only,7-14 business days for in-stock,2026-05-02,https://www.solariswireless.com/products/wholesale-iphone-enterprise
Apple Inc,Apple,iPhone 15,iPhone 15 (128GB),A3081,,Smartphone,iOS,128GB/256GB/512GB,Unlocked or US carriers,North America EU UK Middle East APAC Pacific,New or Refurbished,50-10000,Miami Netherlands Dubai Hong Kong Singapore,ABM auto-enrolment,Asset tag accessory bundle,quote_only,7-14 business days for in-stock,2026-05-02,https://www.solariswireless.com/products/wholesale-iphone-enterprise
Apple Inc,Apple,iPhone SE,iPhone SE 3rd gen (64GB),A2783,,Smartphone,iOS,64GB/128GB/256GB,Unlocked or US carriers,North America EU UK Middle East APAC Pacific,New,50-10000,Miami Netherlands Dubai Hong Kong Singapore,ABM auto-enrolment,Asset tag accessory bundle,quote_only,7-14 business days,2026-05-02,https://www.solariswireless.com/products/wholesale-iphone-enterprise
Samsung Electronics,Samsung,Galaxy S25,Galaxy S25 (128GB),SM-S921B,,Smartphone,Android Enterprise,128GB/256GB/512GB,Unlocked or US carriers,North America EU UK Middle East APAC Pacific,New,50-10000,Miami Netherlands Dubai Hong Kong Singapore,Samsung Knox Mobile Enrollment Google Zero-Touch,Asset tag charger case tamper-evident,quote_only,7-14 business days,2026-05-02,https://www.solariswireless.com/manufacturers/samsung-enterprise-distributor
Samsung Electronics,Samsung,Galaxy S25,Galaxy S25 Ultra (256GB),SM-S928B,,Smartphone,Android Enterprise,256GB/512GB/1TB,Unlocked or US carriers,North America EU UK Middle East APAC Pacific,New,50-10000,Miami Netherlands Dubai Hong Kong Singapore,Knox Mobile Enrollment Knox container,Asset tag accessory bundle,quote_only,7-14 business days,2026-05-02,https://www.solariswireless.com/manufacturers/samsung-enterprise-distributor
Samsung Electronics,Samsung,Galaxy A,Galaxy A55 5G (128GB),SM-A556B,,Smartphone,Android Enterprise,128GB/256GB,Unlocked or US carriers,North America EU UK Middle East APAC Pacific,New,100-50000,Miami Netherlands Dubai Hong Kong Singapore,Knox Mobile Enrollment custom OS for MVNO SIM lock carrier branding,Asset tag MVNO carrier-branded packaging,quote_only,14-28 business days for MVNO programmes,2026-05-02,https://www.solariswireless.com/products/mvno-phone-supplier
Samsung Electronics,Samsung,Galaxy XCover,Galaxy XCover7 (128GB),SM-G556B,,Ruggedised Smartphone,Android Enterprise,128GB,Unlocked or US carriers including FirstNet,North America EU UK Middle East APAC,New,25-5000,Miami Netherlands Dubai Hong Kong Singapore,Knox Mobile Enrollment ruggedised configuration,Asset tag rugged case PTT button mapping,quote_only,14-28 business days,2026-05-02,https://www.solariswireless.com/manufacturers/samsung-enterprise-distributor
Google,Google,Pixel,Pixel 9 Pro (128GB),GA04915-US,,Smartphone,Android Enterprise,128GB/256GB/512GB,Unlocked,North America EU UK,New,50-5000,Miami Netherlands,Google Zero-Touch Enrollment Android Enterprise,Asset tag charger case,quote_only,7-14 business days,2026-05-02,https://www.solariswireless.com/products/bulk-android-phones
Sonim Technologies,Sonim,XP10,Sonim XP10 5G,XP10-5G,,Ruggedised Smartphone (MIL-STD-810H IP68/IP69K),Android Enterprise,128GB,Unlocked FirstNet AT&T EPTT,North America EU UK Middle East APAC,New,25-5000,Miami Netherlands Dubai Hong Kong Singapore,Google Zero-Touch FirstNet PTT pre-config SecureAudio,Asset tag rugged case PTT button mapping XPand battery,quote_only,14-28 business days,2026-05-02,https://www.solariswireless.com/manufacturers/sonim-rugged-distributor
